epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,484.067,1.1461,0.60571,0.00526,0.94061,0.91494,0.9805,0.75025,0.89353,0.36141,0.00514,0.0008812,0.0008812,0.0008812
98,488.961,1.14037,0.59271,0.00522,0.98646,0.97546,0.99394,0.7582,0.87705,0.29085,0.00503,0.000879963,0.000879963,0.000879963
99,493.969,1.12575,0.60561,0.00518,0.97113,0.95254,0.98992,0.75938,0.87749,0.33323,0.00512,0.000878725,0.000878725,0.000878725
100,498.993,1.11219,0.60602,0.00496,0.9783,0.9731,0.99382,0.75941,0.86063,0.27829,0.00493,0.000877487,0.000877487,0.000877487
101,503.946,1.0923,0.5734,0.00501,0.97596,0.97215,0.99438,0.76413,0.86879,0.28287,0.00501,0.00087625,0.00087625,0.00087625
102,508.838,1.12553,0.60338,0.00504,0.96781,0.93438,0.98964,0.74798,0.88209,0.29659,0.00512,0.000875013,0.000875013,0.000875013
103,513.737,1.12041,0.59248,0.00505,0.94859,0.96171,0.98582,0.74953,0.88935,0.31232,0.00519,0.000873775,0.000873775,0.000873775
104,518.629,1.11495,0.60468,0.00501,0.95658,0.9585,0.98645,0.74366,0.8741,0.32317,0.00516,0.000872538,0.000872538,0.000872538
105,523.52,1.12237,0.59689,0.00513,0.96235,0.95012,0.99157,0.76333,0.84573,0.28158,0.00482,0.0008713,0.0008713,0.0008713
106,528.406,1.11726,0.58488,0.00526,0.97837,0.97729,0.99324,0.76483,0.81875,0.29893,0.00467,0.000870063,0.000870063,0.000870063
107,533.29,1.12794,0.58631,0.00523,0.96303,0.96693,0.98862,0.75452,0.87617,0.3142,0.00505,0.000868825,0.000868825,0.000868825
108,538.171,1.11598,0.59337,0.00509,0.97441,0.95753,0.98932,0.7554,0.88662,0.30042,0.00518,0.000867588,0.000867588,0.000867588
109,543.015,1.13061,0.60736,0.00508,0.96294,0.95289,0.98955,0.74759,0.90284,0.33592,0.00514,0.00086635,0.00086635,0.00086635
110,547.921,1.09793,0.58695,0.00502,0.98016,0.97005,0.99242,0.76606,0.86288,0.27689,0.00491,0.000865113,0.000865113,0.000865113
